File,TAX,Receipt Number,MerchantName,Subtotal,Tip,Total,TransactionDateTime,Items
Blendies_Potch_01.json,0105566032566,OP5JX,"BLENDIES (THAILAND) Co.,Ltd.",,,219,23/01/2025 13:36,Premium Signature (1 Scoop) Pistachio (พิสตาชิโอ) (1 x 219)
Boon ton gee_Potch_01.json,0105565000466,BOR6801-01863,BOONTONGKEE,,,,23/01/2025 17:33:01,ไก่ต้นตำรับ M(N) (1 x 410); ข้าวมัน (2 x 60); เต้าหู้ทอดพริกเกลือ (1 x 120); ซุปรากบัว S (N) (1 x 120); ผักโขม ไข่ 3 อย่า. . . (1 x 190); น้ำดื่ม บุญตงกี่ (2 x 60)
Boost_Potch_01.json,0115562030020,133024410,Boost Juice Bars - One Bangkok,,,100,23/01/2025 18:14,1 Med All Berry Bang (100)
Cafe Kaldi - Kitti B..json,,#7-23025,Cafe Kaldi_(Event One Bangkok),,,200,19/01/2025 14:55,Yuzu CB SM (1 x 100); Yuzu Earl Grey Tea SM (1 x 100)
Chatramae_Chalita.json,0105564006509,0160287,ChaTtaMee Brand,,,45,23/01/2025 09:08:10,Thai Tea Iced (1 x 45)
Copperwired _ Viravan.json,0107562000149,,บริษัท คอปเปอร์ ไวร์ด จำกัด (มหาชน),,,11990,,Xiaomi (SIS) Redmi Note 6932554402907 S/N .: 865590075422661 Premium Power Bank GC57 8859289662919 (11990); Premium (SIS) Redmi Watc XMI-9645591569 (1290)
DQ_Potch_01.json,0105525046201,37439,Minor DQ Company Limited,,,77,23/01/2025 18:26,CONE (S) DIP C-CONE (S) (15 x 12); WAFFLE OREO BZ
DQ_Potch_02.json,0105525046201,37435,Minor DQ Company Limited,,,39,23/01/2025 18:21,OREO SUNDAE
DQ_Potch_03.json,0105525046201,37436,Minor DQ Company Limited,,,45,23/01/2025 18:22,CONE (L) DIP C-CONE (L) (20 x 25)
DQ_Potch_04.json,0105525046201,37437,Minor DQ Company Limited,,,49,23/01/2025 18:23,BLIZ KITKAT(S) (49)
DQ_Potch_05.json,0105525046201,37438,Minor DQ Company Limited,,,49,23/01/2025 18:24,
F.I.X. - Kitti B..json,0105561154302,00700001308,F.I.X. ONE BANGKOK,,,389.5,23/01/1968 13:49:45,Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140); Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140); Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140); Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140); Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140); Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140); Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140); Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140); Iced Latte M (1 x 130); Iced Cold Brew Black Tonic L (1 x 140); Iced Cold Brew Black Tonic L (1 x 140)
FAM TIME - Kitti B..json,,RC01012025/03263,Fam Time Steak and Pasta,,,1303.5,25/01/2025 13:35:06,Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165); Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165); Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165); Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165); Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165); Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165); Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165); Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165); Pepper Pork Steak mlnny (1 x 185); None (1 x 195); Magarita_พิซซ่ามาการิต้า (1 x 195); พาพาเดลแซลมอนพิงค์ซอส_Papa (1 x 295); Tiramisu (1 x 165); Chorizo_ไส้กรอกโซริโซ (1 x 165)
FarmThai - Victor Lee.json,,ITH25012409354,"MIRACLE FOOD FACTORY CO., LTD",,,451,24/01/2025 13:19,มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275); มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275); มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275); มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275); มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275); มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275); มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275); มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275); มะม่วงหาวมะนาวโห่โซดา (1 x 35); ข้าวแกงกะหรี่หมูกรอบ (1 x 275)
Fatt Chicken Rice_Potch_01.json,,:12501230028,FATT Chicken Rice,,,605,23/01/2025 18:07,ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120); ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120); ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120); ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120); ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120); ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120); ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120); ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120); ข้าวมันไก่สิงคโปร์ (2 x 260); ปีกไก่ทอดซอสหม่าล่าม (1 x 170); น้ำ เก๊กฮวย (2 x 120)
Fatt Chicken Rice_Potch_02.json,,:12501230025,FATT Chicken Rice,,,550,23/01/2025 16:45,1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70); 1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70); 1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70); 1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70); 1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70); 1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70); 1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70); 1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70); 1ไก่ท โจ๊ก (130); เอด ข้าวมันไก่สิงคโปร์ ( (130); 1 ปีกไก่ทอดซอสหม่าล่าม (170); 1 ลอดช่องสิงคโปร์ (70)
Fatt Chicken Rice_Potch_03.json,,:12501230015,FATT Chicken Rice,,,951,23/01/2025 12:37,None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า; None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า; None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า; None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า; None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า; None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า; None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า; None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า; None (2 x 370); ข้าวมัน (4 x 140); ฟองเต้าหู้ไส้หมูสับแ (1 x 140); ข้าวไข่ข้นไก่ทอด (1 x 175); น้ำเปล่า (2 x 40); แก้วเปล่า
Fatt Chicken Rice_Potch_04.json,,F01,FATT CHICKEN RICE,,,495,23/01/2025 17:05:20,ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า; ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า; ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า; ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า; ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า; ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า; ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า; ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า; ขนมผัดกาดซอสxo 2 ชิ (1 x 70); เกี๊ยวเสฉวนซอสหมาล่า (1 x 140); มะเขือม่วงผัดซอสพริ (1 x 160); น้ำข้าวบาร์เลย์ (1 x 60); น้ำเปล่า (1 x 20); แก้วเปล่า
Fatt Chicken Rice_Potch_05.json,,,FATT CHICKEN RICE,,,345,23/01/2025 16:30:24,#ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185); #ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185); #ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185); #ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185); #ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185); #ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185); #ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185); #ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185); #ขนมผักกาด (1 x 160); 1กลาง#ไก่ทอด (185)
Food Court_Potch_01.json,ID:0105563049786,68013101158,ร้านค้า (FOOD STREET),,,90,31/01/2025 12:55,1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90); 1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90); 1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90); 1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90); 1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90); 1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90); 1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90); 1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90); 1 แซ่บแห้ง หมู - เส้นมาม่า (x2) (90)
Food Court_Potch_02.json,ID:0105563049786,68013101136,ร้านค้า (FOOD STREET),,,75,31/01/2025 12:53,ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75); ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75); ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75); ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75); ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75); ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75); ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75); ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75); ก๋วยเตี๋ยวหมูล้วนแห้ง - เพิ่มพิเศษ + 10 (1 x 75)
Food Court_Potch_03.json,ID:0105563049786,68012200272,ร้านค้า (FOOD STREET),,,100,22/01/2025 11:52,ข้าวกะเพราเนื้อ (1 x 100); ข้าวกะเพราเนื้อ (1 x 100); ข้าวกะเพราเนื้อ (1 x 100); ข้าวกะเพราเนื้อ (1 x 100); ข้าวกะเพราเนื้อ (1 x 100); ข้าวกะเพราเนื้อ (1 x 100); ข้าวกะเพราเนื้อ (1 x 100); ข้าวกะเพราเนื้อ (1 x 100); ข้าวกะเพราเนื้อ (1 x 100)
